Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Features,Chrome 75.0.3770.142,,,2019-07-31 13:07:22,2019-07-31 13:07:44,"22,332s",INCOMPLETE
,,,,,,,
Test Cases/V7 Features/V7-717,Chrome 75.0.3770.142,"WorkflowSelection component should use categories
We need to make it possible to configure a ""dropdown menu"" for certain workflow-buttons in the workflow-selection.component.",Features,2019-07-31 13:07:22,2019-07-31 13:07:44,"21,820s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 13:07:23,2019-07-31 13:07:28,"4,878s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 13:07:28,2019-07-31 13:07:42,"13,577s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Div/div_Nutzername""))",Chrome 75.0.3770.142,,,2019-07-31 13:07:42,2019-07-31 13:07:42,"0,251s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 13:07:42,2019-07-31 13:07:42,"0,176s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 13:07:42,2019-07-31 13:07:42,"0,336s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 13:07:42,2019-07-31 13:07:43,"0,090s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Span/span_KAMPAGNENDEFINITION""))",Chrome 75.0.3770.142,,,2019-07-31 13:07:43,2019-07-31 13:07:43,"0,768s",PASSED
"verifyElementVisible(findTestObject(""Page_BusinessRadar-Client 700/Div/div_Kampagne erstellen  Kampagne modifizieren""))",Chrome 75.0.3770.142,,,2019-07-31 13:07:43,2019-07-31 13:07:43,"0,081s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-31 13:07:43,2019-07-31 13:07:44,"0,613s",PASSED
