Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
V7 Features,Chrome 75.0.3770.142,,,2019-07-31 12:58:25,2019-07-31 12:58:48,"23,138s",INCOMPLETE
,,,,,,,
Test Cases/V7 Features/V7-717,Chrome 75.0.3770.142,"WorkflowSelection component should use categories
We need to make it possible to configure a ""dropdown menu"" for certain workflow-buttons in the workflow-selection.component.",Features,2019-07-31 12:58:26,2019-07-31 12:58:48,"22,693s",PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-31 12:58:27,2019-07-31 12:58:32,"5,198s",PASSED
"navigateToUrl(""https://nostromo.profect.de:8444/v7-snapshot/#/main"")",Chrome 75.0.3770.142,,,2019-07-31 12:58:32,2019-07-31 12:58:46,"14,246s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Div/div_Nutzername""))",Chrome 75.0.3770.142,,,2019-07-31 12:58:46,2019-07-31 12:58:46,"0,249s",PASSED
"setText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Login_username""), ""demo"")",Chrome 75.0.3770.142,,,2019-07-31 12:58:46,2019-07-31 12:58:47,"0,163s",PASSED
"setEncryptedText(findTestObject(""Page_BusinessRadar-Client 700/Input fields/input_Nutzername_password""), ""W3BsrpIC7rG/OMTzTgbg+A=="")",Chrome 75.0.3770.142,,,2019-07-31 12:58:47,2019-07-31 12:58:47,"0,338s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Buttons/button_ANMELDEN""))",Chrome 75.0.3770.142,,,2019-07-31 12:58:47,2019-07-31 12:58:47,"0,089s",PASSED
"click(findTestObject(""Page_BusinessRadar-Client 700/Span/span_KAMPAGNENDEFINITION""))",Chrome 75.0.3770.142,,,2019-07-31 12:58:47,2019-07-31 12:58:48,"0,729s",PASSED
"verifyElementVisible(findTestObject(""Page_BusinessRadar-Client 700/Div/div_Kampagne erstellen  Kampagne modifizieren""))",Chrome 75.0.3770.142,,,2019-07-31 12:58:48,2019-07-31 12:58:48,"0,105s",PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-31 12:58:48,2019-07-31 12:58:48,"0,616s",PASSED
